更新时间: 2026-07-25 03:36:28（北京时间）仅供娱乐，切勿商用。

更新时间,#genre#
2026-07-25 03:36:28,http://kakaxi.indevs.in/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://27.12.12.189:1234/608807420$仅供娱乐
CCTV1,http://116.147.108.34:7788/608807420$切勿商用
CCTV1,http://116.236.204.18:1234/608807420$追责自负
CCTV1,http://42.94.210.57:7788/608807420$免费分享
CCTV1,http://182.61.15.163:80/608807420
CCTV1,http://60.168.105.138:5008/608807420
CCTV1,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=70fb749c2c399271a1ef6fe22dd5c00c&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20260725032018&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=39.103.182.111&SecurityKey=20260725032018&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-9.6.1.6-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=9190bdbbe2f169f7eee51d8b462992f5&ddCalcu=59f1v29a90y9ba2d6b4bbe82df1156e9efe7&sv=10004&ct=android
CCTV1,http://119.88.243.98:17231/608807420
CCTV1,http://182.127.153.79:1234/608807420
CCTV2,http://60.168.105.138:5008/631780532
CCTV2,http://182.127.153.79:1234/631780532
CCTV2,http://27.12.12.189:1234/631780532
CCTV2,http://119.88.243.98:17231/631780532
CCTV2,http://116.147.108.34:7788/631780532
CCTV2,http://42.94.210.57:7788/631780532
